date,store_id,product_id,category,region,inventory_level,units_sold,baseline_ma_30,ml_forecast,safety_stock,reorder_point,recommended_order,stock_status,price,discount,holiday_promotion,weather_condition
2022-01-01,S001,P0001,Groceries,North,231,127,127.0,135.47,179.0,433.0,202.0,⚠️ Reorder Needed,33.5,20,0,Rainy
2022-01-02,S001,P0001,Groceries,West,116,81,104.0,92.94,179.0,387.0,271.0,🔴 Critical Stockout Risk,27.95,10,0,Cloudy
2022-01-03,S001,P0001,Electronics,West,154,5,71.0,5.36,179.0,321.0,167.0,🔴 Critical Stockout Risk,62.7,20,0,Rainy
2022-01-04,S001,P0001,Groceries,South,85,58,67.8,52.87,179.0,315.0,230.0,🔴 Critical Stockout Risk,77.88,15,1,Cloudy
2022-01-05,S001,P0001,Groceries,South,238,147,83.6,150.27,179.0,346.0,108.0,⚠️ Reorder Needed,28.46,20,1,Sunny
2022-01-06,S001,P0001,Electronics,East,198,37,75.8,39.09,179.0,331.0,133.0,⚠️ Reorder Needed,91.05,5,0,Snowy
2022-01-07,S001,P0001,Furniture,North,195,107,80.3,117.92,179.0,340.0,145.0,⚠️ Reorder Needed,53.99,10,1,Sunny
2022-01-08,S001,P0001,Furniture,East,231,2,70.5,0.84,179.0,320.0,89.0,⚠️ Reorder Needed,66.3,20,1,Cloudy
2022-01-09,S001,P0001,Electronics,South,373,350,101.6,352.24,179.0,382.0,9.0,⚠️ Reorder Needed,41.72,0,1,Sunny
2022-01-10,S001,P0001,Electronics,West,327,36,95.0,39.5,179.0,369.0,42.0,⚠️ Reorder Needed,32.68,5,1,Snowy
2022-01-11,S001,P0001,Furniture,West,101,16,87.8,16.11,179.0,355.0,254.0,🔴 Critical Stockout Risk,27.53,5,1,Rainy
2022-01-12,S001,P0001,Toys,South,145,104,89.2,100.32,179.0,357.0,212.0,🔴 Critical Stockout Risk,92.92,0,0,Snowy
2022-01-13,S001,P0001,Furniture,East,110,80,88.5,78.64,179.0,356.0,246.0,🔴 Critical Stockout Risk,17.27,15,1,Snowy
2022-01-14,S001,P0001,Toys,North,199,177,94.8,193.23,179.0,369.0,170.0,⚠️ Reorder Needed,90.05,20,0,Snowy
2022-01-15,S001,P0001,Groceries,North,290,176,100.2,170.06,179.0,379.0,89.0,⚠️ Reorder Needed,98.04,10,1,Rainy
2022-01-16,S001,P0001,Groceries,East,104,97,100.0,114.65,179.0,379.0,275.0,🔴 Critical Stockout Risk,11.39,15,0,Snowy
2022-01-17,S001,P0001,Groceries,East,134,69,98.2,73.59,179.0,375.0,241.0,🔴 Critical Stockout Risk,95.27,0,1,Rainy
2022-01-18,S001,P0001,Electronics,North,339,123,99.6,134.0,179.0,378.0,39.0,⚠️ Reorder Needed,90.7,15,0,Sunny
2022-01-19,S001,P0001,Groceries,West,431,211,105.4,228.92,179.0,390.0,0.0,✅ Healthy Stock,97.97,10,0,Cloudy
2022-01-20,S001,P0001,Furniture,North,154,79,104.1,90.49,179.0,387.0,233.0,🔴 Critical Stockout Risk,10.38,0,0,Cloudy
2022-01-21,S001,P0001,Clothing,South,430,390,117.7,401.1,179.0,414.0,0.0,✅ Healthy Stock,13.1,15,1,Snowy
2022-01-22,S001,P0001,Electronics,North,450,191,121.0,181.42,179.0,421.0,0.0,✅ Healthy Stock,87.64,0,1,Snowy
2022-01-23,S001,P0001,Furniture,West,118,79,119.2,69.99,179.0,417.0,299.0,🔴 Critical Stockout Risk,22.65,15,0,Cloudy
2022-01-24,S001,P0001,Toys,South,115,9,114.6,17.87,179.0,408.0,293.0,🔴 Critical Stockout Risk,76.71,15,1,Snowy
2022-01-25,S001,P0001,Furniture,East,348,189,117.6,185.83,179.0,414.0,66.0,⚠️ Reorder Needed,18.35,15,1,Rainy
2022-01-26,S001,P0001,Clothing,South,200,49,115.0,50.62,179.0,409.0,209.0,⚠️ Reorder Needed,59.48,5,1,Sunny
2022-01-27,S001,P0001,Furniture,South,410,164,116.8,180.45,179.0,413.0,3.0,⚠️ Reorder Needed,93.34,0,0,Cloudy
